gameid,Gameplay,Social,Market,Narrative,Graphics,Technical,Audio,Content
35130,-0.153161538,0.29555625,0.3326,,0,-0.294,0.5615,
35140,-0.375872727,,,0.3844,0,-0.6002,0.228533333,
35450,-0.201144444,0.159808333,-0.01795,0.6369,-0.45175,0.081625,-0.20615,
35460,-0.048314286,0.058933333,0.45515,-0.168933333,0.6486,-0.7797,0.31545,
35480,0.042831579,0.128,0.20045,0.0131,-0.1287,,-0.038266667,
35700,-0.1357625,0.29415,,0.36115,0.73425,0.2751,,
35720,0.066141667,-0.058425,0.365366667,-0.1963,0.1027,,,0.4828
37600,0.4005,0.2304,-0.04625,,0.331775,0.3062,,
38400,0.257175,,0.16905,-0.034572727,0.386,0.2561,0.276533333,
38410,-0.39202,,-0.072933333,0.090272727,0.1366,0,,
38420,0.058353846,0.086966667,-0.088533333,-0.151357143,,-0.46285,0.6369,
38600,0.201928571,0.6217,0.362988889,0.015328571,0.7184,-0.1675,,
38700,0.223144444,,0.5708,0.06338,0.1953,0.09835,0.81615,
38720,-0.1327,,0.269766667,0.159533333,,0.42225,-0.4588,
38740,0.3505,0.5783,0.21636,0.6369,-0.046725,0.373433333,0.712425,0.7964
39000,0.071,0.3818,0.4139,-0.3062,-0.1204,-0.250033333,0.3342,
39120,0.224,,,0.184185714,,0.6948,,
39140,0.120585714,0.5423,-0.029988889,-0.003116667,0.1061,0.2164,0.7506,
39190,0.3027625,-0.1477375,0.1392,0.05135,0,0.8074,,0.3612
39200,0.108545455,0.057808333,0.0613625,0.602625,-0.17422,0.151714286,0.335983333,0.313266667
39150,0.13226,,,-0.032275,,-0.103875,0.4676,
39210,0.480266667,-0.273366667,0.16047,0.197133333,0.3612,0.047272727,0.5664,0
39500,-0.167614286,0.3612,0.383466667,0.034284615,,0.2533125,-0.22585,
39510,0.132888889,0.1433,0.243633333,0.311280952,,0.14744,0.85105,
39540,0.096772727,0.5219,0.423833333,0.008718182,0.6003,0.014942857,-0.056842105,
39680,-0.024804762,-0.073425,0.051766667,0.46825,-0.128,0.251054545,,
39690,-0.022970175,0.1849,0.20396,0.10667,-0.1639,-0.1154,0.075576923,-0.1366
39670,-0.213003571,-0.059185714,0.16774,0.028888889,-0.161175,-0.7964,-0.10546,
39800,-0.27528,-0.05368,,-0.0862,,0,0.926,0.7351
40100,0.1633625,0.498333333,,0.6259,,0.128,,0.8622
40300,-0.185218519,-0.331425,-0.523433333,0.079585714,-0.4989,-0.006842857,0.429933333,
40380,0.037177778,0.474583333,0.49396,0.419466667,0.420133333,-0.089177778,-0.6132,-0.7048
40390,0.0968875,0.4404,0.154244444,0.251478261,0.309357143,0.001125,0,0.1779
40400,-0.036128571,-0.10011,-0.26455,0.4215,0.261233333,-0.025854545,0.296,0
40700,-0.048183333,0,,0.4591625,-0.111125,0.024366667,0.800225,
40720,0.0496,,0.326123077,0.278342857,0.626233333,0.24062,0.8777,
40950,0.15268,-0.4588,,,,,0.7959,
40970,0.307316667,0.3063,0.6105,,0.6369,0.314275,,
41000,-0.146329412,0.0116,0.6868,-0.080166667,-0.61185,,-0.8777,
41070,-0.265778571,0.4428,0.468733333,-0.7033,,0.02038,0.9201,
40990,0.16106,-0.014366667,-0.077675,0.4612,0.4384,-0.182233333,0.29304,
41100,-0.195248936,0.87485,-0.288533333,0.54214,,-0.3638,-0.8979,
41300,-0.136081818,0.1496125,0.2937,,,-0.1769,,
41500,0.191890625,0.006525,0.4727,0.43632,-0.104633333,0.7213,0,
41700,-0.253592308,,0.5198,0.18765,,-0.14895,0.3182,
41900,0.181210526,,0.35825,0.35304,-0.3423,0.012566667,0.370927273,
42120,-0.2162,-0.269014286,0.347,,,-0.767233333,,
42700,0.11705,0.56575,0.5023,,0,,,
42670,-0.163073077,-0.18675,0.16619,0.162130769,-0.0005,-0.23065,-0.51995,
42910,0.336025,0.30105,,-0.3818,-0.2701,-0.5402,,0.1806
42960,0.15287619,0.6808,0.104233333,0.38322,,0.052666667,,-0.349483333
42990,0.082810606,-0.07031,0.157628571,-0.22075,0.044666667,0.051285714,-0.7884,
43000,-0.306578571,-0.01964,-0.055669231,0.3212,-0.2779,0.195833333,-0.039633333,-0.00906
44350,-0.120634483,0.204023077,0.311446667,0.34002,-0.156,0.457625,-0.5361,-0.109071429
45100,0.088377778,0,-0.0165,0.223657143,0.2914,-0.2495,-0.6136,
45400,0.049592308,-0.5858,0.230266667,,,,,
45700,0.0953,0.6068,0.201966667,-0.17115,0.1876,0.9177,0.327233333,
45740,0.260475,0.20586,0.209516667,0.132625,0.2144,0.46265,-0.296,-0.3891
45750,-0.008154545,0.295508333,0.28106,0.5023,0.150366667,0.23325,,
45760,0.3639875,0.554375,0.34302,0.120014286,0.7264,-0.1375125,0.059433333,0
45770,0.131733333,0.2732,0.400566667,-0.072966667,0.8316,-0.13384,,-0.08218
46500,0.35912,-0.265525,0.590342857,0.224791304,0.292171429,0.17375,0.548483333,
46510,-0.061706667,,-0.5267,0.211644,0.37498,-0.21075,0.4610375,
47400,0.243028571,-0.7419,0.4223,0.62134,0.483933333,-0.5324,0.935066667,
47410,0.092395652,0.104877778,0.56514,0.2996,,0.646766667,,0.1255
47700,0.055881818,0.4732,0.300933333,-0.30848,0.765,,0.765,
47780,0.05201,0.0772,-0.255566667,-0.15118,,0.038133333,,-0.08825
47790,-0.035363636,-0.045961538,0.7906,-0.039433333,0.01364,,0.8689,
47810,0.293784615,-0.1366,0,0.16786,0.36755,0.6854,0.138133333,0.38735
47870,0.176,0.0604,-0.036833333,0.4454,0.05485,0.1779,0.58275,
47890,0.1865,,0.349881818,0.08674,-0.4404,-0.368125,,0.206775
48000,-0.119207143,-0.21075,0.32255,0.033584615,-0.1364,,,
47920,0.0619,-0.3099,0.31915,0.6369,0.5859,0.0588,-0.4215,0.3857
48110,0.125868421,0.4019,0.4053,0.229225,0.304925,0.308366667,,0.13435
48190,0.104655172,-0.1078,-0.3925,0.26468,,0.250425,0.490733333,0.128
48240,0.428955556,0.5031,0.4588,0.469533333,-0.23835,-0.4767,,
48700,-0.017933333,-0.01795,0.5067,0.1647,-0.1319,0.7304,,-0.1045
48720,-0.054133333,-0.2807,0.2584,0.6486,,0.59145,,-0.27195
48800,0.222671429,-0.125866667,0.325666667,-0.6486,0.1389,-0.042166667,,
49470,0.108778571,0.184888889,-0.0096,,-0.2651,0.144166667,0.7269,-0.1735
49520,0.27184,0.2021,-0.116375,-0.0316,,-0.2585,0.01555,0.22834
49600,0.109576471,,0.02985,0.0772,0.24588,0.15615,-0.071544444,0.2336625
50130,0.098619048,0.25,0.04225,0.243442105,0.12105,-0.0572,0.52495,0.13315
50300,-0.108486207,0.01432,0.1858,-0.131163636,-0.004475,-0.2202,0.7541,
55040,0.082136,0.5607,0.238875,,,0.282325,0.833,
55100,-0.1363,0.068477273,0.09757,-0.091208333,0.164125,-0.0527,0.341142857,
55110,0.016464286,,0.477733333,0.049825,0.5734,-0.4201,,
